Pcode,Locality,State,Comments,DeliveryOffice,PreSortIndicator,ParcelZone,BSPnumber,BSPname,Category
822,HUGHES,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,KAKADU,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,KOOLPINYAH,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,LAKE BENNETT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,LAMBELLS LAGOON,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,LITCHFIELD PARK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,LIVINGSTONE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,LLOYD CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MANDORAH,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MANINGRIDA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MAPURU,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MARANUNGA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MARGARET RIVER,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MARRAKAI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MCMINNS LAGOON,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MICKETT CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MIDDLE POINT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MILIKAPITI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MILINGIMBI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MILYAKBURRA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MINJILANG,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MOUNT BUNDEY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,MURRUMUJUK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,NAUIYU,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,NEMARLUK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,NGANMARRIYANGA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,NUMBULWAR,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,NUMBURINDI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,OENPELLI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,PEPPIMENARTI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,PIRLANGIMPI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,POINT STEPHENS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,POINT STUART,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,PULARUMPI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,RAKULA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,RAMINGINING,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,ROBIN FALLS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,RUM JUNGLE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,SANDPALMS ROADHOUSE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,SOUTHPORT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,STAPLETON,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,THAMARRURR,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,TIPPERARY,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,TIVENDALE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,TIWI ISLANDS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,TORTILLA FLATS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,TUMBLING WATERS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,UMBAKUMBA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,VERNON ISLANDS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WADEYE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WAGAIT BEACH,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WAK WAK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WARRUWI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WEDDELL,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WEST ARNHEM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WICKHAM,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WINNELLIE,NT,PO BAGS,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WISHART,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WOOLANING,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
822,WURRUMIYANGA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
828,BERRIMAH,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
828,KNUCKEY LAGOON,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
829,HOLTZE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
829,PINELANDS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
830,ARCHER,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,DRIVER,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,DURACK,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,FARRAR,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,GRAY,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,MARLOW LAGOON,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,MOULDEN,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,PALMERSTON,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,SHOAL BAY,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,WOODROFFE,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
830,YARRAWONGA,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
831,PALMERSTON,NT,PO BOXES,PALMERSTON DC,85,NT1,1,DARWIN,Post Office Boxes
832,BAKEWELL,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,BELLAMACK,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,GUNN,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,JOHNSTON,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,MITCHELL,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,ROSEBERY,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,ROSEBERY HEIGHTS,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
832,ZUCCOLI,NT,,PALMERSTON DC,85,NT1,1,DARWIN,Delivery Area
834,VIRGINIA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
835,HOWARD SPRINGS,NT,,HOWARD SPRINGS LPO,85,NT1,1,DARWIN,Delivery Area
836,GIRRAWEEN,NT,,HUMPTY DOO LPO,85,NT1,1,DARWIN,Delivery Area
836,HERBERT,NT,,HUMPTY DOO LPO,85,NT1,1,DARWIN,Delivery Area
836,HUMPTY DOO,NT,,HUMPTY DOO LPO,85,NT1,1,DARWIN,Delivery Area
837,MANTON,NT,,NOONAMAH CPA,85,NT1,1,DARWIN,Delivery Area
837,NOONAMAH,NT,,NOONAMAH CPA,85,NT1,1,DARWIN,Delivery Area
838,BERRY SPRINGS,NT,,BERRY SPRINGS CPA,85,NT1,1,DARWIN,Delivery Area
839,COOLALINGA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
840,DUNDEE BEACH,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
840,DUNDEE DOWNS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
840,DUNDEE FOREST,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
841,DARWIN RIVER,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
845,BATCHELOR,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
846,ADELAIDE RIVER,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
847,PINE CREEK,NT,,PINE CREEK CPA,85,NT1,1,DARWIN,Delivery Area
850,COSSACK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
850,EMUNGALAN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
850,KATHERINE,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
850,KATHERINE EAST,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
850,KATHERINE SOUTH,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
850,LANSDOWNE,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
851,KATHERINE,NT,PO BOXES,KATHERINE POST SHOP,85,NT1,1,DARWIN,Post Office Boxes
852,ARNOLD,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BAINES,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BARUNGA,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BESWICK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BESWICK CREEK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BINJARI,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BIRDUM,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BRADSHAW,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BUCHANAN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,BULMAN WEEMOL,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,CRESWELL,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,DAGURAGU,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,DALY WATERS,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,DELAMERE,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,EDITH,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,ELSEY,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,FLORINA,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,FLYING FOX,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,GREGORY,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,GULUNG MARDRULK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,GURINDJI,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,HELEN SPRINGS STATION,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,JILKMINGGAN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,KALKARINDJI,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,KATHERINE,NT,PO BAGS,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,LAJAMANU,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,LARRIMAH,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,LIMMEN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,MANBULLOO,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,MARANBOY,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,MATARANKA,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,MCARTHUR,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,MINIYERI,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,NGUKURR,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,NITMILUK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,PELLEW ISLANDS,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,PIGEON HOLE,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,ROBINSON RIVER,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,STURT PLATEAU,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,TANAMI EAST,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,TIMBER CREEK,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,TOP SPRINGS,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,URALLA,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,VENN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,VICTORIA RIVER,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,VICTORIA RIVER DOWNS,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,WARUMUNGU,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,WAVE HILL,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,WILTON,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
852,YARRALIN,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
853,TINDAL,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
854,BORROLOOLA,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
854,KING ASH BAY,NT,,KATHERINE DC,85,NT1,1,DARWIN,Delivery Area
860,TENNANT CREEK,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
861,TENNANT CREEK,NT,PO BOXES,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Post Office Boxes
862,CALVERT,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,ELLIOTT,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,NEWCASTLE WATERS,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,NICHOLSON,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,PAMAYU,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
